,0,1,2,3,4,5,6,7,8,9
0,UNS:0.046126,UNS:0.04444,UNS:0.049013,UNS:0.05455,UNS:0.068299,UNS:0.055132,UNS:0.044989,-1.0,UNS:0.044162,UNS:0.044645
1,UNS:0.361286,UNS:0.133817,-1.0,UNS:0.118258,UNS:0.046472,UNS:0.118431,SAT:0.779395,UNS:0.043063,UNS:0.043136,UNS:0.046825
2,UNS:0.116648,-1.0,UNS:0.103714,UNS:0.03956,UNS:0.041272,UNS:0.08392,UNS:0.039886,UNS:0.044011,UNS:0.042887,UNS:0.065147
3,-1.0,UNS:0.044296,UNS:0.041674,UNS:0.045296,UNS:0.044994,UNS:0.046811,UNS:0.049755,UNS:0.042584,UNS:0.041558,UNS:0.049311
4,UNS:0.07457,UNS:0.074644,UNS:0.040191,UNS:0.044266,-1.0,UNS:0.094209,UNS:0.06235,UNS:0.046477,UNS:0.045391,UNS:0.050562
5,UNS:0.043683,-1.0,UNS:0.064358,UNS:0.042326,UNS:0.040074,UNS:0.076512,UNS:0.066834,UNS:0.053248,UNS:0.061123,UNS:0.042764
6,UNS:0.040809,UNS:0.044867,UNS:0.042135,UNS:0.04166,-1.0,UNS:0.042548,UNS:0.044372,UNS:0.043434,UNS:0.045624,UNS:0.052335
7,UNS:0.039733,UNS:0.04283,UNS:0.054705,UNS:0.046563,UNS:0.045449,UNS:0.041864,UNS:0.045591,UNS:0.062251,UNS:0.04179,-1.0
8,UNS:0.112081,UNS:0.041863,UNS:0.108271,UNS:0.04946,SAT:0.470591,-1.0,SAT:0.448498,UNS:0.119122,SAT:0.735211,SAT:0.595174
9,UNS:0.049177,UNS:0.044155,UNS:0.039571,UNS:0.040074,UNS:0.109477,UNS:0.060019,UNS:0.047045,UNS:0.0403,UNS:0.04016,-1.0
