,0,1,2,3,4,5,6,7,8,9
0,UNS:0.631367,UNS:0.043026,UNS:0.046225,UNS:0.045889,UNS:0.044075,UNS:0.03936,-1.0,UNS:0.04488,UNS:0.041851,UNS:0.039228
1,UNS:0.046328,UNS:0.046023,UNS:0.044938,-1.0,UNS:0.039631,UNS:0.057324,UNS:0.040476,UNS:0.038882,UNS:0.041527,UNS:0.055659
2,TIMEOUT,UNS:0.043421,UNS:0.040701,UNS:0.114797,UNS:0.039809,-1.0,UNS:0.042918,UNS:0.050329,UNS:0.060534,UNS:0.11757
3,UNS:0.049258,UNS:0.043926,UNS:0.059243,UNS:0.119853,UNS:0.043603,-1.0,UNS:0.041896,UNS:0.04645,UNS:0.04068,UNS:0.045042
4,UNS:0.058975,UNS:0.039648,UNS:0.2129,UNS:0.040742,UNS:0.529544,UNS:0.12816,-1.0,UNS:0.042592,UNS:0.048198,UNS:0.039336
5,-1.0,UNS:0.042166,UNS:0.042133,UNS:0.039813,UNS:0.062308,UNS:0.042772,UNS:0.040659,UNS:0.040084,UNS:0.040172,UNS:0.038687
6,UNS:0.039885,UNS:0.042872,UNS:0.04309,UNS:0.046249,-1.0,UNS:0.046371,UNS:0.042482,UNS:0.040518,UNS:0.041822,UNS:0.039541
7,UNS:0.040169,-1.0,UNS:0.04072,UNS:0.039309,UNS:0.043188,UNS:0.04044,UNS:0.038608,UNS:0.043377,UNS:0.04031,UNS:0.077494
8,UNS:0.079309,UNS:0.057267,UNS:0.094475,UNS:0.039724,UNS:0.11007,UNS:0.039952,UNS:0.044849,UNS:0.039825,UNS:0.061562,-1.0
9,TIMEOUT,UNS:0.103606,TIMEOUT,UNS:0.764249,TIMEOUT,-1.0,SAT:14.032927,TIMEOUT,UNS:0.113776,UNS:0.141469
10,UNS:0.042339,UNS:0.041842,UNS:0.042546,UNS:0.043208,UNS:0.039611,UNS:0.041587,UNS:0.053169,-1.0,UNS:0.042766,UNS:0.054162
11,UNS:0.038791,UNS:0.039692,SAT:0.465252,UNS:0.045248,UNS:0.038987,UNS:0.04044,UNS:0.039613,UNS:0.039755,-1.0,UNS:0.039808
12,UNS:0.039611,UNS:0.043657,UNS:0.039048,UNS:0.047904,SAT:0.645461,SAT:0.687899,UNS:0.146403,UNS:0.095705,UNS:0.0393,-1.0
13,UNS:0.039144,UNS:0.040627,UNS:0.102312,-1.0,UNS:0.109908,UNS:0.049484,UNS:0.039771,UNS:0.046123,UNS:0.039858,UNS:0.08704
14,UNS:0.040351,UNS:0.040778,UNS:0.110516,UNS:0.104594,UNS:0.03961,UNS:0.03971,UNS:0.04071,-1.0,UNS:0.044552,UNS:0.105753
