,0,1,2,3,4,5,6,7,8,9
0,UNS:0.053342,UNS:0.041065,UNS:0.046239,UNS:0.040642,UNS:0.039019,UNS:0.038612,UNS:0.044152,-1.0,UNS:0.042329,UNS:0.040468
1,UNS:0.314924,UNS:0.104517,-1.0,UNS:0.103652,UNS:0.03852,UNS:0.111383,SAT:0.726603,UNS:0.044683,UNS:0.041934,UNS:0.046451
2,UNS:0.072001,-1.0,UNS:0.038732,UNS:0.040698,UNS:0.155302,UNS:0.087408,UNS:0.041861,UNS:0.039422,UNS:0.096428,UNS:0.041228
3,-1.0,UNS:0.03862,UNS:0.039413,UNS:0.042568,UNS:0.039616,UNS:0.044264,UNS:0.040552,UNS:0.044971,UNS:0.03932,UNS:0.0402
4,UNS:0.043826,UNS:0.041265,UNS:0.040431,UNS:0.042365,-1.0,UNS:0.041355,UNS:0.041916,UNS:0.047459,UNS:0.039801,UNS:0.038479
5,UNS:0.039259,-1.0,UNS:0.050552,UNS:0.041253,UNS:0.04448,UNS:0.04344,UNS:0.048987,UNS:0.040379,UNS:0.05088,UNS:0.040149
6,UNS:0.039607,UNS:0.038833,UNS:0.045498,UNS:0.040282,-1.0,UNS:0.039345,UNS:0.046426,UNS:0.039469,UNS:0.040426,UNS:0.043977
7,UNS:0.039372,UNS:0.04046,UNS:0.039246,UNS:0.038326,UNS:0.041529,UNS:0.039659,UNS:0.04021,UNS:0.038764,UNS:0.040006,-1.0
8,UNS:0.108701,UNS:0.040165,UNS:0.104053,UNS:0.046304,SAT:0.542791,-1.0,SAT:0.500758,UNS:0.102897,SAT:0.830922,SAT:0.622325
9,UNS:0.038348,UNS:0.039049,UNS:0.038823,UNS:0.042043,UNS:0.107569,UNS:0.040735,UNS:0.039676,UNS:0.04143,UNS:0.039899,-1.0
10,-1.0,UNS:0.039803,UNS:0.040178,UNS:0.038855,UNS:0.03859,UNS:0.078265,UNS:0.039714,UNS:0.044624,UNS:0.039138,UNS:0.039086
11,UNS:0.110326,UNS:0.098329,SAT:7.364714,UNS:0.101088,SAT:1.12826,UNS:0.096789,-1.0,UNS:0.096726,UNS:0.097384,UNS:0.039029
12,UNS:0.03878,UNS:0.039434,UNS:0.103541,UNS:0.039557,UNS:0.040644,UNS:0.049743,UNS:0.038832,UNS:0.073849,UNS:0.038621,-1.0
