,0,1,2,3,4,5,6,7,8,9
0,UNS:0.042515,UNS:0.04603,UNS:0.047131,UNS:0.042876,UNS:0.042158,UNS:0.044657,UNS:0.040439,-1.0,UNS:0.039532,UNS:0.045248
1,UNS:0.042193,UNS:0.041141,-1.0,UNS:0.15952,UNS:0.042534,UNS:0.038981,SAT:1.062027,UNS:0.040297,UNS:0.041272,UNS:0.039757
2,UNS:0.040971,-1.0,UNS:0.040137,UNS:0.044243,UNS:0.039282,UNS:0.040573,UNS:0.039011,UNS:0.03889,UNS:0.04075,UNS:0.038771
3,-1.0,UNS:0.038019,UNS:0.038924,UNS:0.038285,UNS:0.039837,UNS:0.038861,UNS:0.039218,UNS:0.038544,UNS:0.046144,UNS:0.039227
4,UNS:0.043416,UNS:0.039284,UNS:0.039959,UNS:0.038906,-1.0,UNS:0.039042,UNS:0.038998,UNS:0.03951,UNS:0.04136,UNS:0.038657
5,UNS:0.039258,-1.0,UNS:0.046836,UNS:0.039059,UNS:0.0393,UNS:0.043242,UNS:0.044956,UNS:0.038613,UNS:0.039406,UNS:0.039372
6,UNS:0.03906,UNS:0.038148,UNS:0.039892,UNS:0.040583,-1.0,UNS:0.039544,UNS:0.041231,UNS:0.038416,UNS:0.037949,UNS:0.039485
7,UNS:0.03921,UNS:0.039209,UNS:0.038358,UNS:0.038421,UNS:0.038408,UNS:0.040545,UNS:0.038381,UNS:0.038292,UNS:0.038212,-1.0
8,UNS:0.045176,UNS:0.040874,UNS:0.064033,UNS:0.040048,SAT:0.533681,-1.0,SAT:0.432165,UNS:0.040705,SAT:0.572043,SAT:0.645579
9,UNS:0.039224,UNS:0.039971,UNS:0.04058,UNS:0.041809,UNS:0.099337,UNS:0.038963,UNS:0.046185,UNS:0.039215,UNS:0.042664,-1.0
10,-1.0,UNS:0.04067,UNS:0.03828,UNS:0.038584,UNS:0.038661,UNS:0.038512,UNS:0.039717,UNS:0.039289,UNS:0.040457,UNS:0.037957
11,UNS:0.039193,UNS:0.038429,UNS:0.038023,UNS:0.038127,UNS:0.205619,UNS:0.038452,-1.0,UNS:0.038986,UNS:0.038006,UNS:0.038709
12,UNS:0.039208,UNS:0.03848,UNS:0.0383,UNS:0.038149,UNS:0.041553,UNS:0.038152,UNS:0.038119,UNS:0.039005,UNS:0.038713,-1.0
13,-1.0,UNS:0.038232,UNS:0.038507,UNS:0.038865,UNS:0.038738,UNS:0.038483,UNS:0.039454,UNS:0.040301,UNS:0.038772,UNS:0.039276
14,UNS:0.039759,-1.0,UNS:0.038779,UNS:0.039378,UNS:0.039384,UNS:0.038382,UNS:0.039418,UNS:0.037863,UNS:0.039528,UNS:0.038941
15,UNS:0.039835,UNS:0.038169,UNS:0.038908,UNS:0.099848,UNS:0.038537,-1.0,UNS:0.038102,UNS:0.039622,UNS:0.038915,UNS:0.037881
16,UNS:0.038527,UNS:0.039031,UNS:0.038736,UNS:0.038436,UNS:0.038822,UNS:0.038518,UNS:0.039601,UNS:0.043004,UNS:0.041764,-1.0
17,UNS:0.0397,UNS:0.03879,UNS:0.040413,UNS:0.040397,UNS:0.039428,UNS:0.038621,UNS:0.03904,-1.0,UNS:0.039585,UNS:0.039046
18,UNS:0.038753,UNS:0.039057,UNS:0.096068,-1.0,UNS:0.039386,UNS:0.044627,UNS:0.037962,UNS:0.039288,UNS:0.902227,UNS:0.043456
19,UNS:0.038269,UNS:0.038793,UNS:0.041102,UNS:0.040732,-1.0,UNS:0.039436,UNS:0.038703,UNS:0.039871,UNS:0.04336,UNS:0.039949
20,UNS:0.040895,UNS:0.041429,UNS:0.038433,UNS:0.03936,UNS:0.038881,UNS:0.038839,UNS:0.038971,UNS:0.039103,UNS:0.044787,-1.0
21,UNS:0.040169,UNS:0.042023,UNS:0.039543,UNS:0.040361,UNS:0.044831,UNS:0.042515,-1.0,UNS:0.040575,UNS:0.040331,UNS:0.042083
22,UNS:0.04042,UNS:0.045475,UNS:0.040889,UNS:0.038578,UNS:0.038989,UNS:0.038657,-1.0,UNS:0.03963,UNS:0.042638,UNS:0.039845
23,UNS:0.039456,UNS:0.039174,UNS:0.041915,UNS:0.038098,UNS:0.040689,-1.0,UNS:0.039195,UNS:0.038598,UNS:0.038009,UNS:0.040337
24,UNS:0.039612,UNS:0.038868,UNS:0.038023,UNS:0.03958,-1.0,UNS:0.039782,UNS:0.040452,UNS:0.03865,UNS:0.038621,UNS:0.038634
25,-1.0,UNS:0.039095,UNS:0.037932,UNS:0.038625,UNS:0.038321,UNS:0.038924,UNS:0.038908,UNS:0.038372,UNS:0.039879,UNS:0.039899
26,UNS:0.038902,UNS:0.039214,UNS:0.03866,UNS:0.038071,UNS:0.03798,UNS:0.038475,UNS:0.039378,-1.0,UNS:0.038402,UNS:0.03819
27,UNS:0.038101,UNS:0.038971,UNS:0.039078,UNS:0.038513,-1.0,UNS:0.0394,UNS:0.038281,UNS:0.039412,UNS:0.038646,UNS:0.038537
28,-1.0,UNS:0.038738,UNS:0.038155,UNS:0.039733,UNS:0.038126,UNS:0.03855,UNS:0.038627,UNS:0.038008,UNS:0.038484,UNS:0.039
29,UNS:0.039165,-1.0,UNS:0.039196,UNS:0.040696,UNS:0.039741,UNS:0.038784,UNS:0.043874,UNS:0.04093,UNS:0.038935,UNS:0.040038
30,UNS:0.037436,UNS:0.040104,UNS:0.039945,-1.0,UNS:0.039535,UNS:0.039063,UNS:0.041298,UNS:0.042474,UNS:0.038673,SAT:0.648891
31,UNS:0.040675,-1.0,UNS:0.039499,UNS:0.03761,UNS:0.039079,UNS:0.039088,UNS:0.039351,UNS:0.042467,UNS:0.039608,UNS:0.038724
