,0,1,2,3,4,5,6,7,8,9
0,UNS:0.05416,UNS:0.046879,UNS:0.066845,UNS:0.046368,UNS:0.063027,UNS:0.046677,UNS:0.048396,-1.0,UNS:0.093749,UNS:0.047799
1,UNS:0.048832,UNS:0.04645,-1.0,UNS:0.061585,UNS:0.048939,UNS:0.087087,SAT:0.48964,UNS:0.069142,UNS:0.051402,UNS:0.086919
2,UNS:0.064648,-1.0,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
3,-1.0,UNS:0.050081,UNS:0.086857,UNS:0.048042,UNS:0.065645,UNS:0.088499,UNS:0.045606,UNS:0.045612,UNS:0.046069,UNS:0.045604
4,UNS:0.045159,UNS:0.048029,UNS:0.044764,UNS:0.044989,-1.0,UNS:0.052233,UNS:0.046501,UNS:0.044581,UNS:0.048166,UNS:0.04923
5,UNS:0.045693,-1.0,UNS:0.049292,UNS:0.046104,UNS:0.047024,UNS:0.047107,UNS:0.048315,UNS:0.046371,UNS:0.048347,UNS:0.044725
6,UNS:0.119293,SAT:4.075632,SAT:6.311198,SAT:0.863533,-1.0,SAT:1.493411,UNS:0.047128,TIMEOUT,SAT:5.305529,SAT:1.040477
7,UNS:0.053743,UNS:0.046835,UNS:0.04807,UNS:0.056597,UNS:0.047275,UNS:0.04586,UNS:0.046427,UNS:0.046367,UNS:0.046085,-1.0
8,UNS:0.073853,UNS:0.057418,UNS:0.046287,UNS:0.052788,SAT:0.559238,-1.0,SAT:0.413073,UNS:0.066225,SAT:0.491963,SAT:0.779248
9,UNS:0.046252,UNS:0.045648,UNS:0.044998,UNS:0.050598,UNS:0.097882,UNS:0.050961,UNS:0.048008,UNS:0.046261,UNS:0.054787,-1.0
10,-1.0,UNS:0.045807,UNS:0.048259,UNS:0.04527,UNS:0.123161,UNS:0.045553,UNS:0.047485,UNS:0.166276,UNS:0.048132,UNS:0.045242
11,UNS:0.045788,UNS:0.047265,SAT:1.77443,UNS:0.047376,SAT:6.925774,UNS:0.076933,-1.0,UNS:0.075791,UNS:0.152745,UNS:0.050886
12,UNS:0.046757,UNS:0.07248,UNS:0.045672,UNS:0.045624,UNS:0.075529,UNS:0.046344,UNS:0.059972,UNS:0.167477,UNS:0.049938,-1.0
13,-1.0,UNS:0.136368,UNS:0.050599,UNS:0.045718,UNS:0.103421,UNS:0.045612,UNS:0.045411,UNS:0.046755,UNS:0.04596,UNS:0.051155
14,UNS:0.045648,-1.0,UNS:0.045339,UNS:0.046304,UNS:0.045998,UNS:0.0458,UNS:0.045981,UNS:0.046895,UNS:0.046555,UNS:0.047149
15,UNS:0.04652,UNS:0.047352,UNS:0.045197,SAT:0.527083,UNS:0.046275,-1.0,UNS:0.046747,UNS:0.049202,UNS:0.046085,UNS:0.045764
16,UNS:0.045451,UNS:0.04693,UNS:0.046005,UNS:0.046513,UNS:0.061246,UNS:0.045604,UNS:0.046435,UNS:0.046119,UNS:0.050612,-1.0
17,UNS:0.048188,UNS:0.049347,UNS:0.045777,UNS:0.04593,UNS:0.04718,UNS:0.045081,UNS:0.047375,-1.0,UNS:0.048555,UNS:0.053572
18,UNS:0.098356,UNS:0.088359,UNS:0.116663,-1.0,UNS:0.047362,UNS:0.737015,UNS:0.04686,UNS:0.045318,SAT:1.166315,UNS:0.151095
19,UNS:0.045696,UNS:0.046229,UNS:0.046139,UNS:0.047117,-1.0,UNS:0.045054,UNS:0.048253,UNS:0.044909,UNS:0.045492,UNS:0.045704
20,UNS:0.047415,UNS:0.050321,UNS:0.049556,UNS:0.049048,UNS:0.04747,UNS:0.049745,UNS:0.046441,UNS:0.046619,UNS:0.048355,-1.0
21,UNS:0.045967,UNS:0.04655,UNS:0.049815,UNS:0.046706,UNS:0.045513,UNS:0.044823,-1.0,UNS:0.046607,UNS:0.04748,UNS:0.046272
22,UNS:0.046087,UNS:0.04494,UNS:0.046268,UNS:0.046159,UNS:0.048071,UNS:0.046067,-1.0,UNS:0.046256,UNS:0.046213,UNS:0.045163
23,UNS:0.046128,UNS:0.045097,UNS:0.04789,UNS:0.074992,UNS:0.052052,-1.0,UNS:0.047625,UNS:0.044397,UNS:0.046497,UNS:0.046217
24,UNS:0.046151,UNS:0.046017,UNS:0.045163,UNS:0.05,-1.0,UNS:0.656028,UNS:0.047311,SAT:3.957464,UNS:0.045713,UNS:0.107073
