,0,1,2,3,4,5,6,7,8,9
0,UNS:0.041959,UNS:0.041629,UNS:0.044211,UNS:0.043993,UNS:0.046734,UNS:0.039993,UNS:0.043857,-1.0,UNS:0.040054,UNS:0.038917
1,UNS:0.048122,UNS:0.046045,-1.0,UNS:0.138576,UNS:0.069688,UNS:0.042582,UNS:1.035581,UNS:0.040906,UNS:0.037913,UNS:0.048915
2,UNS:0.046385,-1.0,UNS:0.042804,UNS:0.038446,UNS:0.061133,UNS:0.038713,UNS:0.04135,UNS:0.039027,UNS:0.03821,UNS:0.049951
3,-1.0,UNS:0.039641,UNS:0.038938,UNS:0.038028,UNS:0.046487,UNS:0.038106,UNS:0.038968,UNS:0.041127,UNS:0.048718,UNS:0.045973
4,UNS:0.039085,UNS:0.041936,UNS:0.039073,UNS:0.039128,-1.0,UNS:0.040212,UNS:0.041095,UNS:0.045592,UNS:0.045437,UNS:0.042026
5,UNS:0.043551,-1.0,UNS:0.039185,UNS:0.038806,UNS:0.041702,UNS:0.039268,UNS:0.038977,UNS:0.038497,UNS:0.039235,UNS:0.038813
6,UNS:0.040156,UNS:0.037861,UNS:0.038273,UNS:0.039935,-1.0,UNS:0.043132,UNS:0.042534,UNS:0.069041,UNS:0.037812,UNS:0.038491
7,UNS:0.048162,UNS:0.039167,UNS:0.050238,UNS:0.044255,UNS:0.038209,UNS:0.03846,UNS:0.044019,UNS:0.038227,UNS:0.038541,-1.0
8,UNS:0.041482,UNS:0.038436,UNS:0.04062,UNS:0.038324,UNS:0.054274,-1.0,SAT:0.523059,UNS:0.038576,SAT:0.52284,UNS:0.039651
9,UNS:0.039808,UNS:0.039045,UNS:0.048579,UNS:0.042569,UNS:0.043668,UNS:0.056891,UNS:0.048971,UNS:0.047212,UNS:0.044143,-1.0
10,-1.0,UNS:0.058882,UNS:0.051172,UNS:0.040961,UNS:0.039694,UNS:0.046576,UNS:0.040594,UNS:0.039805,UNS:0.047156,UNS:0.046785
11,UNS:0.052076,UNS:0.057077,UNS:0.045775,UNS:0.04426,UNS:0.04058,UNS:0.03861,-1.0,UNS:0.042707,UNS:0.039892,UNS:0.03985
12,UNS:0.040624,UNS:0.040025,UNS:0.039311,UNS:0.039594,UNS:0.038921,UNS:0.047561,UNS:0.040734,UNS:0.040981,UNS:0.04421,-1.0
13,-1.0,UNS:0.042274,UNS:0.042636,UNS:0.041476,UNS:0.044554,UNS:0.044238,UNS:0.038954,UNS:0.040997,UNS:0.050662,UNS:0.04203
14,UNS:0.0415,-1.0,UNS:0.043194,UNS:0.041237,UNS:0.042965,UNS:0.040196,UNS:0.040731,UNS:0.039002,UNS:0.045302,UNS:0.041188
15,UNS:0.043013,UNS:0.040688,UNS:0.04138,UNS:0.042392,UNS:0.04324,-1.0,UNS:0.046261,UNS:0.040977,UNS:0.045045,UNS:0.042864
16,UNS:0.03906,UNS:0.040601,UNS:0.043612,UNS:0.046373,UNS:0.047666,UNS:0.039903,UNS:0.041362,UNS:0.038933,UNS:0.07301,-1.0
17,UNS:0.039679,UNS:0.041068,UNS:0.068644,UNS:0.040784,UNS:0.04352,UNS:0.039255,UNS:0.041439,-1.0,UNS:0.039908,UNS:0.040906
18,UNS:0.03889,UNS:0.039584,UNS:0.04115,-1.0,UNS:0.043064,UNS:0.039202,UNS:0.038707,UNS:0.038762,UNS:0.040522,UNS:0.045702
19,UNS:0.052935,UNS:0.041099,UNS:0.039237,UNS:0.038681,-1.0,UNS:0.038884,UNS:0.042478,UNS:0.041395,UNS:0.03922,UNS:0.039859
