,0,1,2,3,4,5,6,7,8,9
0,-1.0,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
1,TIMEOUT,-1.0,SAT:104.071631,SAT:144.858056,SAT:141.178581,TIMEOUT,TIMEOUT,SAT:116.712372,SAT:96.694365,TIMEOUT
2,SAT:148.455025,SAT:150.594289,-1.0,SAT:114.312091,SAT:156.469475,TIMEOUT,TIMEOUT,SAT:82.775331,SAT:162.674774,TIMEOUT
3,TIMEOUT,TIMEOUT,SAT:79.270208,-1.0,TIMEOUT,SAT:80.681171,TIMEOUT,SAT:88.085188,SAT:66.713169,SAT:72.501238
4,SAT:206.309317,TIMEOUT,SAT:105.485689,TIMEOUT,-1.0,SAT:193.012201,SAT:70.850893,TIMEOUT,SAT:73.041918,SAT:81.899299
5,SAT:50.025785,SAT:71.377545,SAT:75.628342,SAT:74.599007,SAT:87.421886,-1.0,SAT:56.978139,TIMEOUT,SAT:46.486203,SAT:53.114478
6,SAT:69.03843,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1.0,TIMEOUT,TIMEOUT,TIMEOUT
7,SAT:69.844731,SAT:77.103576,SAT:68.635357,SAT:72.588377,SAT:68.920098,TIMEOUT,TIMEOUT,-1.0,SAT:66.103893,SAT:61.866793
8,SAT:62.934823,SAT:102.332852,SAT:68.886554,SAT:68.236981,SAT:89.486936,SAT:78.917157,SAT:69.440283,SAT:82.511977,-1.0,SAT:59.63681
9,SAT:81.023395,TIMEOUT,TIMEOUT,TIMEOUT,SAT:72.416472,SAT:77.837931,TIMEOUT,SAT:80.525708,SAT:75.587415,-1.0
