,0,1,2,3,4,5,6,7,8,9
0,-1.0,UNS:0.575171,UNS:1.180249,UNS:1.117665,UNS:0.562119,UNS:1.052541,UNS:1.002915,UNS:1.030833,UNS:1.037937,UNS:1.035929
1,UNS:0.722419,-1.0,UNS:1.221991,UNS:1.029392,UNS:0.977181,UNS:1.003512,UNS:1.092699,UNS:1.026763,UNS:0.950025,UNS:1.006807
2,TIMEOUT,TIMEOUT,-1.0,TIMEOUT,SAT:21.06509,TIMEOUT,SAT:22.449271,TIMEOUT,TIMEOUT,SAT:24.871841
3,TIMEOUT,TIMEOUT,TIMEOUT,-1.0,TIMEOUT,SAT:295.61315,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT
4,UNS:0.653957,UNS:0.596546,UNS:0.709059,UNS:0.595861,-1.0,UNS:1.087881,UNS:1.139938,UNS:0.774178,UNS:0.776278,UNS:0.815645
5,UNS:1.173982,UNS:1.06978,UNS:1.058019,UNS:1.096285,UNS:0.769199,-1.0,UNS:1.094335,UNS:1.108699,UNS:1.129504,UNS:1.09314
6,UNS:1.084712,UNS:1.065829,UNS:1.118534,UNS:1.128419,UNS:1.019807,UNS:1.076844,-1.0,UNS:1.067317,UNS:1.057348,UNS:1.048229
7,UNS:3.287734,UNS:3.347702,UNS:3.343406,UNS:3.395503,UNS:3.357208,UNS:3.288318,UNS:3.266841,-1.0,UNS:3.306503,UNS:3.283353
8,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,SAT:36.900716,SAT:28.230035,TIMEOUT,-1.0,TIMEOUT
9,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,SAT:18.196173,TIMEOUT,TIMEOUT,TIMEOUT,TIMEOUT,-1.0
