,0,1,2,3,4,5,6,7,8,9
0,UNS:0.041935,UNS:0.03982,UNS:0.043019,UNS:0.041157,UNS:0.04455,UNS:0.049169,UNS:0.045253,-1.0,UNS:0.040188,UNS:0.039384
1,UNS:0.038239,UNS:0.039,-1.0,UNS:0.046324,UNS:0.039163,UNS:0.039012,UNS:0.051097,UNS:0.042686,UNS:0.038601,UNS:0.041634
2,UNS:0.039303,-1.0,UNS:0.038619,UNS:0.041576,UNS:0.039777,UNS:0.055521,UNS:0.048317,UNS:0.039971,UNS:0.041039,UNS:0.047498
3,-1.0,UNS:0.048776,UNS:0.040179,UNS:0.041233,UNS:0.041056,UNS:0.042411,UNS:0.039929,UNS:0.044405,UNS:0.06613,UNS:0.043233
4,UNS:0.038279,UNS:0.053888,UNS:0.039372,UNS:0.043432,-1.0,UNS:0.048164,UNS:0.038947,UNS:0.03831,UNS:0.042207,UNS:0.040209
5,UNS:0.039141,-1.0,UNS:0.045555,UNS:0.040611,UNS:0.041677,UNS:0.042723,UNS:0.042901,UNS:0.045489,UNS:0.045759,UNS:0.038324
6,UNS:0.039646,UNS:0.047399,UNS:0.038943,UNS:0.038265,-1.0,UNS:0.075661,UNS:0.039805,UNS:0.040584,UNS:0.040358,UNS:0.038962
7,UNS:0.038591,UNS:0.038481,UNS:0.038448,UNS:0.041963,UNS:0.03837,UNS:0.05654,UNS:0.046547,UNS:0.038786,UNS:0.039203,-1.0
8,UNS:0.043974,UNS:0.040069,UNS:0.056664,UNS:0.03964,SAT:0.570519,-1.0,-1.0,-1.0,-1.0,-1.0
9,UNS:0.039632,UNS:0.04152,UNS:0.038931,UNS:0.038895,UNS:0.096031,UNS:0.046722,UNS:0.040131,UNS:0.043826,UNS:0.050298,-1.0
10,-1.0,UNS:0.058372,UNS:0.041252,UNS:0.040408,UNS:0.044165,UNS:0.039247,UNS:0.039457,UNS:0.038555,UNS:0.038479,UNS:0.038876
11,UNS:0.038423,UNS:0.038728,UNS:0.042767,UNS:0.039788,UNS:0.207207,UNS:0.038724,-1.0,UNS:0.049745,UNS:0.038221,UNS:0.039242
12,UNS:0.043193,UNS:0.038843,UNS:0.039118,UNS:0.039099,UNS:0.040962,UNS:0.039383,UNS:0.038581,UNS:0.04171,UNS:0.038343,-1.0
13,-1.0,UNS:0.039569,UNS:0.038804,UNS:0.041711,UNS:0.048878,UNS:0.03905,UNS:0.039865,UNS:0.038032,UNS:0.038586,UNS:0.041299
14,UNS:0.04562,-1.0,UNS:0.039471,UNS:0.04389,UNS:0.047357,UNS:0.047351,UNS:0.039788,UNS:0.041895,UNS:0.048743,UNS:0.059146
15,UNS:0.043856,UNS:0.050095,UNS:0.04929,UNS:0.050976,UNS:0.042318,-1.0,UNS:0.04056,UNS:0.042456,UNS:0.045885,UNS:0.039357
16,UNS:0.040996,UNS:0.039662,UNS:0.043505,UNS:0.038089,UNS:0.04051,UNS:0.042767,UNS:0.038087,UNS:0.038822,UNS:0.041825,-1.0
17,UNS:0.040994,UNS:0.038555,UNS:0.042393,UNS:0.038605,UNS:0.039357,UNS:0.039818,UNS:0.03863,-1.0,UNS:0.039466,UNS:0.039005
18,UNS:0.039601,UNS:0.040049,UNS:0.097181,-1.0,UNS:0.04327,UNS:0.049315,UNS:0.04178,UNS:0.03995,UNS:0.95235,UNS:0.044114
19,UNS:0.040613,UNS:0.038789,UNS:0.040512,UNS:0.03939,-1.0,UNS:0.041103,UNS:0.039376,UNS:0.047224,UNS:0.041252,UNS:0.043098
20,UNS:0.041855,UNS:0.043556,UNS:0.042889,UNS:0.040332,UNS:0.039576,UNS:0.038819,UNS:0.038486,UNS:0.044464,UNS:0.040013,-1.0
21,UNS:0.042294,UNS:0.043068,UNS:0.041665,UNS:0.038623,UNS:0.039298,UNS:0.041059,-1.0,UNS:0.040705,UNS:0.045611,UNS:0.039529
22,UNS:0.038904,UNS:0.038408,UNS:0.038188,UNS:0.03918,UNS:0.040466,UNS:0.047316,-1.0,UNS:0.046533,UNS:0.042983,UNS:0.046612
23,UNS:0.052486,UNS:0.076642,UNS:0.057228,UNS:0.048139,UNS:0.041664,-1.0,UNS:0.043303,UNS:0.039272,UNS:0.059968,UNS:0.045528
24,UNS:0.051575,UNS:0.045629,UNS:0.041647,UNS:0.039585,-1.0,UNS:0.055101,UNS:0.039028,UNS:0.047452,UNS:0.052911,UNS:0.040189
25,-1.0,UNS:0.039785,UNS:0.045965,UNS:0.041004,UNS:0.041827,UNS:0.039995,UNS:0.042533,UNS:0.043346,UNS:0.038796,UNS:0.039125
26,UNS:0.04136,UNS:0.039356,UNS:0.039589,UNS:0.043984,UNS:0.040836,UNS:0.041455,UNS:0.040693,-1.0,UNS:0.041542,UNS:0.042585
27,UNS:0.03848,UNS:0.040877,UNS:0.042029,UNS:0.039123,-1.0,UNS:0.038822,UNS:0.052276,UNS:0.038323,UNS:0.038447,UNS:0.041106
28,-1.0,UNS:0.040813,UNS:0.039966,UNS:0.039881,UNS:0.040963,UNS:0.044252,UNS:0.042189,UNS:0.040055,UNS:0.038958,UNS:0.047048
29,UNS:0.038581,-1.0,UNS:0.050608,UNS:0.039844,UNS:0.044752,UNS:0.043219,UNS:0.04757,UNS:0.039128,UNS:0.048938,UNS:0.047187
30,UNS:0.043532,UNS:0.039692,UNS:0.045015,-1.0,UNS:0.045049,UNS:0.042827,UNS:0.03851,UNS:0.04188,UNS:0.038259,SAT:0.713418
31,UNS:0.040911,-1.0,UNS:0.038869,UNS:0.040306,UNS:0.039641,UNS:0.039306,UNS:0.038456,UNS:0.049265,UNS:0.038964,UNS:0.044356
32,UNS:0.04526,UNS:0.039188,UNS:0.039291,-1.0,UNS:0.040339,UNS:0.040095,UNS:0.040293,UNS:0.041212,UNS:0.038274,UNS:0.040335
33,UNS:0.03468,UNS:0.029641,UNS:0.02958,UNS:0.028085,-1.0,UNS:0.032612,UNS:0.028763,UNS:0.029816,UNS:0.02804,UNS:0.034292
34,UNS:0.051925,UNS:0.040772,UNS:0.059666,UNS:0.043863,UNS:0.050873,UNS:0.039088,UNS:0.039712,-1.0,UNS:0.043409,UNS:0.042121
35,UNS:0.040285,UNS:0.039942,-1.0,SAT:0.680173,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
36,UNS:0.039733,UNS:0.041855,UNS:0.039828,UNS:0.041455,UNS:0.043872,UNS:0.041314,UNS:0.045604,-1.0,UNS:0.043435,UNS:0.044064
37,UNS:0.053734,-1.0,UNS:0.040831,UNS:0.042621,UNS:0.042117,UNS:0.039103,UNS:0.039447,UNS:0.039364,UNS:0.038248,UNS:0.039572
38,UNS:0.039942,UNS:0.048572,-1.0,UNS:0.11783,UNS:0.060122,UNS:0.045955,UNS:0.03836,UNS:0.03827,UNS:0.098777,UNS:0.038379
39,UNS:0.038164,-1.0,UNS:0.042415,UNS:0.03853,UNS:0.039411,UNS:0.04107,UNS:0.038608,UNS:0.038225,UNS:0.038439,UNS:0.039542
40,UNS:0.038383,-1.0,UNS:0.038493,UNS:0.043817,UNS:0.040552,UNS:0.038212,UNS:0.038971,UNS:0.039708,UNS:0.038946,UNS:0.038593
41,UNS:0.039432,UNS:0.041523,UNS:0.051201,UNS:0.039454,UNS:0.038214,UNS:0.038603,UNS:0.042255,-1.0,UNS:0.047758,UNS:0.038961
42,UNS:0.048265,UNS:0.047911,UNS:0.038339,UNS:0.041819,-1.0,UNS:0.039085,UNS:0.039243,UNS:0.03821,UNS:0.040859,UNS:0.039282
43,UNS:0.038129,UNS:0.096784,-1.0,UNS:0.039574,UNS:0.039075,UNS:0.038361,UNS:0.049039,UNS:0.039521,UNS:0.038301,UNS:0.03835
44,UNS:0.038304,UNS:0.039735,UNS:0.038441,-1.0,UNS:0.039665,UNS:0.038892,UNS:0.038142,UNS:0.045359,UNS:0.038451,UNS:0.038461
45,UNS:0.040567,UNS:0.038588,UNS:0.042445,UNS:0.038716,UNS:0.038441,-1.0,UNS:0.041036,UNS:0.046068,UNS:0.038412,UNS:0.041879
46,UNS:0.038401,-1.0,UNS:0.040152,UNS:0.099011,UNS:0.043788,UNS:0.038503,UNS:0.03876,UNS:0.357804,UNS:0.039626,UNS:0.039691
47,UNS:0.040795,UNS:0.039248,-1.0,UNS:0.038603,UNS:0.040593,UNS:0.038349,UNS:0.038466,UNS:0.040574,UNS:0.038248,UNS:0.03823
48,UNS:0.039299,UNS:0.038726,UNS:0.039431,UNS:0.041278,-1.0,UNS:0.038798,UNS:0.038211,UNS:0.039491,UNS:0.038446,UNS:0.04096
49,UNS:0.038423,UNS:0.039471,UNS:0.039737,UNS:0.038292,-1.0,UNS:0.040172,UNS:0.038942,UNS:0.040378,UNS:0.038699,UNS:0.038902
50,UNS:0.040919,UNS:0.039095,UNS:0.040515,UNS:0.038714,UNS:0.039061,UNS:0.041338,-1.0,UNS:0.038298,UNS:0.040652,UNS:0.03896
51,UNS:0.041252,UNS:0.041851,UNS:0.039401,-1.0,UNS:0.038921,UNS:0.039873,UNS:0.03804,UNS:0.039294,UNS:0.039087,UNS:0.037893
52,UNS:0.039242,UNS:0.037817,UNS:0.039296,UNS:0.039491,UNS:0.040087,-1.0,UNS:0.039996,UNS:0.038909,UNS:0.038051,UNS:0.03901
