,0,1,2,3,4,5,6,7,8,9
0,UNS:0.046098,UNS:0.062499,UNS:0.041374,UNS:0.045001,UNS:0.041851,UNS:0.039567,UNS:0.03848,-1.0,UNS:0.048288,UNS:0.044607
1,UNS:0.039229,UNS:0.052979,-1.0,UNS:0.112478,UNS:0.04846,UNS:0.042671,SAT:0.600097,UNS:0.039104,UNS:0.044453,UNS:0.038314
2,UNS:0.039127,-1.0,UNS:0.043312,UNS:0.042854,UNS:0.042751,UNS:0.039077,UNS:0.047704,UNS:0.04082,UNS:0.044962,UNS:0.040769
3,-1.0,UNS:0.043579,UNS:0.044434,UNS:0.090094,UNS:0.040037,UNS:0.04043,UNS:0.04141,UNS:0.066523,UNS:0.04476,UNS:0.061728
4,UNS:0.040515,UNS:0.042143,UNS:0.044173,UNS:0.045117,-1.0,UNS:0.040169,UNS:0.049448,UNS:0.041674,UNS:0.045325,UNS:0.044893
5,UNS:0.042151,-1.0,UNS:0.045216,UNS:0.042641,UNS:0.039797,UNS:0.044662,UNS:0.046464,UNS:0.039029,UNS:0.097548,UNS:0.04229
6,UNS:0.061288,UNS:0.850529,UNS:0.05843,SAT:1.751252,-1.0,SAT:0.676607,UNS:0.041573,UNS:0.106127,SAT:0.70289,SAT:0.679003
7,UNS:0.038728,UNS:0.039573,UNS:0.039888,UNS:0.042395,UNS:0.040963,UNS:0.04261,UNS:0.046614,UNS:0.04483,UNS:0.041541,-1.0
8,UNS:0.044801,UNS:0.039381,UNS:0.058098,UNS:0.044833,SAT:0.526393,-1.0,SAT:0.389916,UNS:0.041182,SAT:0.581842,SAT:0.577181
9,UNS:0.043015,UNS:0.03864,UNS:0.044109,UNS:0.038606,UNS:0.099436,UNS:0.157678,UNS:0.040946,UNS:0.038989,UNS:0.040248,-1.0
10,-1.0,UNS:0.05503,UNS:0.039987,UNS:0.040308,UNS:0.038819,UNS:0.044873,UNS:0.04098,UNS:0.038702,UNS:0.174796,UNS:0.038781
11,UNS:0.04406,UNS:0.043678,UNS:0.042163,UNS:0.040202,UNS:0.250057,UNS:0.040766,-1.0,UNS:0.038863,UNS:0.041469,UNS:0.039591
